content,sentiment
"Péssimo! O pior aplicativo que existe!!! Eu mudei de número de telefone e não consigo mais acessar a minha conta! Faço o reconhecimento facial e no fim, dizem que não foi possível concluir devido a um ""problema"". Porém, não dão nenhuma opção para tentar de outra forma, nem solucionam problema algum!!! Horrível!!!!! Não recomendo a ninguém!",0
"Ultima atualização ficou muito ruim o aplicativo, ícone dos restaurantes enorme na tela, super travado, mal otimizado, horrível pra procurar qualquer restaurante. O pior de tudo é você ser obrigado a pagar o clube ifood para ter o valor real do produto, pois sem ele você paga muito a mais, pois os cupons só dão a falsa sensação de que você está pagando mais barato.",0
"Não consigo utilizar a opção de pagamento na entrega pois sempre aparece como ""forma de pagamento indisponível"". Ou seja, é IMPOSSÍVEL pagar c dinheiro ou cartão de crédito/débito. Como era um pedido importante resolvi fazer com a única opção disponível que é o pagamento antecipado(Pix/carteira Google etc). Mas meu pedido foi cancelado pela Lj em segundos alegando estar fechada(mesmo o app mostrando como aberta). Resultado: ainda não recebi meu estorno. Sem coragem de comprar novamente.",0
"Ultimamente quase tudo no Ifood está caro, cupons falsos para dar a impressão de desconto, que no fundo não passa de uma enganação. Raramente faço pedidos umas três ou quatro vezes no mês, às vezes fazer compra no mercado vale a pena, desde que tenha promoção e frete gratis de resto não espero muita coisa.",0
"vou dar uma estrela, e é muito ainda!!! já é a segunda vez que faço o cancelamento de pedidos, por motivo de deficiência de entrega por parte dos estabelecimento que aparecem no próprio App de vocês, e pior quando peço estorno, é num período de 30 dias!!! É um absurdo fazer estorno em 30 dias!!! deveria ser num máximo 48 horas!!! Se continuar assim irei cancelar minha conta, e ir no Procon fazer a reclamação, e obter meu reembolso!!!!",0
"Disigne horrível, navegação também e promoções so pra algumas pessoas por que no meu caso nada aparece, fora muitos erros na hora de finalizar a compra o que deixa horrível. Adicional : não assinem o clube ifood, basicamente a 4 meses cobrando de modo errado, além de negarem isso não apresentam nenhuma solução, o suporte querendo dizer que o erro é meu não deles (cobrando mais que o dobro), enfim totalmente desapontada com isso.",0
"O aplicativo sempre funcionou bem, mas nós últimos meses vem causando transtornos com inúmeros pedidos cancelados porque ""não conseguimos confirmar seu pagamento"". Sendo o pagamento no mesmo cartão de sempre e com limite. Nunca especificam o motivo de não conseguir confirmar o pagamento, sendo que após algumas tentativas funciona e no mesmo cartão. Não consigo entender. E muitas vezes vejo após mais de uma hora esperando, gerando grandes transtornos. Espero que seja corrigido ou melhor explicado",0
"Estou em outra cidade, e simplesmente não consigo colocar a opção de pagamento na entrega. O aplicativo quer me obrigar, a todo custo a fazer pagamento via Pix, ou adicionar saldo a carteira ou pagar pela carteira do Google. Sendo que eu só tenho débito e crédito, e não uso a carteiras digitais. Não consigo fazer um pedido, isso é muito absurdo. O APP cada dia pior, não tenho palavras, para expressar meu desgaste e minha indignação. Se tiver um app parecido, pelo amor de Deus me recomendem.",0
"Atendimento a problemas do consumidor horrendo. Se qualquer coisa der errado, você tem que passar por uma dor de cabeça gigantesca. Meu pedido passou do período de entrega e ainda estava EM PREPARO, mas o app não tem uma opção de cancelamento rápido. Ou seja, pedi um fast-food por praticidade e perdi um tempo absurdo do meu dia procurando soluções, esperando o app deixar eu fazer algo, conversando com o suporte. Ridículo. Se os termos não foram cumpridos, permitam o cancelamento. Desinstalando.",0
"Ifood usa de forma suja os cards do clube Ifood! Fui concluir um pedido e apertei para finalizar, em cima estava o cupons do clube, apertei sem querer e automaticamente virei assinante, descontaram do meu cartão na hora. Não deu para cancelar ou negar a assinatura, ela foi automaticamente concluída. Não faz sentido para mim já que peço 1 vez por mês e olhe lá. O aplicativo trava muito, aguardando ansiosa por uma nova plataforma que seja mais ética e que tenha uma boa usabilidade.",0
